"","ward","area","name"
"164","E05003181",78.168321125314,"Beckermet"
"165","E05007160",72.086368193083,"Wetheringsett"
"166","E05006537",3.74466716263042,"Kidlington South"
"167","E05005560",98.4654075906715,"Binbrook"
"168","E05007604",90.2252484528391,"Bury"
"169","E05004052",28.5084259440375,"Hatfield Peverel"
"170","E05001911",9.43483750741929,"The Nedge"
"171","E05002192",8.70428225630289,"West"
"172","E05004136",74.7284928316381,"Pyefleet"
"173","E05002397",12.7357196787388,"Bletchley and Fenny Stratford"
"174","E05001235",6.89716392098165,"Wyken"
"175","W05000271",1.08592927559344,"Pant"
"176","E05008400",211.577121997312,"Till and Wylye Valley"
"177","E05001525",31.4212231040963,"Westworth"
"178","E05005883",4.00861024019586,"Mile Cross"
"179","E05005952",6.38723478922915,"Drayton"
"180","E05002126",4.98171184713205,"Throop and Muscliff"
"181","E05004497",3.82373051590576,"Bishopstoke East"
"182","E05002006",2.87287786373439,"Windmill Hill"
"183","E05004049",5.97018674709245,"Great Notley and Braintree West"
"184","E05007003",21.492759789435,"Penkridge South East"
"185","E05002631",2.11131036291752,"Amersham-on-the-Hill"
"186","E05006391",30.6247839838491,"Ranskill"
"187","E05003937",1.98988422575651,"Maze Hill"
"188","E05007929",48.2532515590076,"Bewdley and Arley"
"189","E05007621",71.9655952389968,"Rogate"
"190","E05000442",3.59657037525109,"Downham"
"191","E05002306",2.3425749931688,"Northcroft"
"192","E05004909",20.5983546184299,"Harbledown"
"193","E05007609",13.6518944063118,"Donnington"
"194","E05005516",50.9977829855831,"Breedon"
"195","E05003591",62.0853766167263,"Ashburton and Buckfastleigh"
"196","E05003132",4.33305217459128,"Moss Bay"
"197","W05000102",3.11282629335742,"Pwllheli South"
"198","E05004916",2.88727370505646,"Northgate"
"199","E05005530",7.78465146757025,"Whitwick"
"200","E05000608",1.50304292562076,"William Morris"
"201","E05001026",30.2220861534362,"Maltby"
"202","E05008929",5.52693514064294,"Watchet"
"203","E05002457",3.75806946487643,"Bevois"
"204","E05000420",1.82482611915014,"Coldharbour"
"205","E05000726",3.70688726191631,"Failsworth West"
"206","E05001396",16.4064476982285,"Dalton"
"207","E05000413",2.52188925800065,"Surbiton Hill"
"208","E05005820",1.61141993219681,"North Downham"
"209","E05001184",8.33818022983619,"Brandwood"
"210","E05004402",2.45955286347104,"Trinity"
"211","E05004633",56.2710774625062,"Blackwater"
"212","E05005934",3.547757820554,"Oakley Vale"
"213","E05008031",66.9986525332856,"Bywell"
"214","E05007893",3.75901544943651,"Warndon Parish North"
"215","E05006335",146.393902750709,"Scalby, Hackness and Staintondale"
"216","E05008882",2.85116889069712,"Peafields"
"217","E05002120",6.24340235616381,"Littledown and Iford"
"218","E05004932",7.86444138939828,"Joydens Wood"
"219","E05005502",7.36659525253082,"Melton Dorian"
"220","E05007842",4.30840760559398,"Waseley"
"221","E05004183",8.38167283198015,"Little Parndon and Hare Street"
"222","E05007238",3.73663925919379,"Kirkley"
"223","W05000366",1.58941222475001,"Aberystwyth Rheidol"
"224","E05001052",50.021206820963,"Fulwood"
"225","E05003158",5.14744515871514,"Belah"
"226","E05004172",4.18810481088067,"Shelley"
"227","E05005001",98.2242133076362,"North Downs"
"228","E05007647",56.7286310904658,"Bramber, Upper Beeding and Woodmancote"
"229","E05004682",12.0854059830713,"Flamstead End"
"230","E05003772",11.1491924979721,"Preston"
"231","E05003425",6.59446445212605,"Dronfield Woodhouse"
"232","E05001727",4.22603008402539,"Yarborough"
"233","E05001187",7.6185109745623,"Hall Green"
"234","E05008690",20.706256539246,"Rossmore"
"235","E05004751",3.15142721064479,"Borehamwood Kenilworth"
"236","E05007343",10.0022147479896,"Reigate Hill"
"237","E05000913",5.28840931463838,"West Derby"
"238","E05007104",64.4897527445521,"Brandon East"
"239","E05000287",2.11210546769309,"Edgware"
"240","W05000128",1.87726867007231,"Gower"
"241","E05002650",10.9469251328493,"Prestwood and Heath End"
"242","E05006831",72.7252651301216,"Coker"
"243","E05005566",41.2285263232954,"Grimoldby"
"244","W05000060",27.0463970298121,"Deiniolen"
"245","E05007361",3.71164969383561,"Woodham"
"246","E05005002",3.53138720991957,"Park Wood"
"247","E05000768",3.67559813469792,"Langworthy"
"248","E05005702",3.61057628981097,"Gainsborough North"
"249","E05000625",2.90427046107072,"Thamesfield"
"250","E05001199",9.07500477081395,"Oscott"
"251","E05004295",1.80829099995952,"Lansdown"
"252","E05000951",4.19266758651326,"St Oswald"
"253","E05005324",27.5348452256701,"Helmshore"
"254","E05004757",7.33745872229688,"Potters Bar Furzefield"
"255","E05002718",52.8140065558895,"Cheveley"
"256","E05001829",7.88923586553816,"Bulwell"
"257","E05001239",6.79458823214778,"Brockmoor and Pensnett"
"258","E05005587",4.9542101264699,"St Mary's"
"259","E05004954",2.06019225203099,"North Deal"
"260","E05002797",11.6843706755791,"Comberton"
"261","E05002320",3.68375353945307,"Battle"
"262","E05006329",6.964660457037,"Mayfield"
"263","E05007052",55.7922972351396,"Checkley"
"264","E05005093",1.97391456543576,"Margate Central"
"265","E05004816",4.77421586099555,"Symonds Green"
"266","E05002346",3.07514513903553,"Langley St Mary's"
"267","E05007568",2.57972156980506,"Marine"
"268","E05005813",2.62477605681614,"Gaywood Chase"
"269","E05004923",4.40530328672844,"West Bay"
"270","E05005414",2.34682254102644,"Fairestone"
"271","E05007683",5.27106750517308,"East Grinstead Imberhorne"
"272","E05006416",12.5135336823615,"Nuthall East and Strelley"
"273","E05000500",3.74859089750731,"Clayhall"
"274","W05000456",109.562874447409,"Wiston"
"275","E05006981",2.62473270423895,"Seabridge"
"276","E05005851",52.0632804632285,"Happisburgh"
"277","E05001302",11.6653898613586,"Aldridge North and Walsall Wood"
"278","E05001110",3.62553561597564,"Westerhope"
"279","E05004070",48.8428000709583,"Brizes and Doddinghurst"
"280","E05003756",115.492774428626,"Halstock"
"281","E05003679",4.00605329172157,"Ferndown Central"
"282","E05000888",6.98161779512407,"Belle Vale"
"283","E05008003",48.6965982039219,"Sherburn"
"284","E05005863",40.418430939675,"Roughton"
"285","E05005109",4.39745695351059,"Castle"
"286","E05003268",112.302881925864,"Staveley-in-Westmorland"
"287","E05004458",2.43642801966823,"Winklebury"
"288","E05008854",10.6860809951045,"Upton"
"289","E05000060",6.85319281496439,"Underhill"
